Name,James_Loney Rating,Student1 Rating,Student2 Rating,model01 Rating,model02 Rating,model03 Rating,shuoshuo,avg_expert,avg_student
1,1,2,1,6,3,2,1,1,1.5
2,3,3,3,2,2,2,1,2,3
3,4,3,4,2,2,2,2,3,3.5
4,4,4,5,4,3,3,2,3,4.5
5,6,5,6,4,4,4,3,4.5,5.5
6,4,2,5,4,4,4,3,3.5,3.5
7,7,6,9,6,6,6,4,5.5,7.5
8,7,6,5,8,6,6,4,5.5,5.5
9,9,9,10,10,9,9,5,7,9.5
10,7,5,7,6,6,6,5,6,6
11,8,7,8,8,6,6,6,7,7.5
12,6,7,8,8,8,8,6,6,7.5
13,9,6,7,6,4,4,7,8,6.5
14,7,6,5,6,6,6,7,7,5.5
15,10,9,8,9,6,8,8,9,8.5
16,9,7,7,9,8,8,8,8.5,7
17,10,9,9,10,9,9,9,9.5,9
18,9,8,7,9,8,8,9,9,7.5
19,10,10,9,10,9,9,10,10,9.5
20,10,10,8,10,9,9,10,10,9
21,1,1,1,4,2,2,1,1,1
22,4,2,4,6,2,2,2,3,3
23,3,2,5,4,2,3,3,3,3.5
24,8,4,6,6,6,6,4,6,5
25,6,9,8,9,8,8,5,5.5,8.5
26,7,9,7,8,6,6,6,6.5,8
27,7,9,7,10,9,9,7,7,8
28,7,9,7,10,8,9,8,7.5,8
29,9,10,9,10,9,9,9,9,9.5
30,5,4,6,6,4,4,3,4,5
31,4,4,4,6,4,4,4,4,4
32,4,4,5,6,4,6,5,4.5,4.5
33,5,4,5,10,6,8,6,5.5,4.5
34,9,8,7,9,8,8,7,8,7.5
35,9,8,6,10,10,10,9,9,7
36,10,8,6,10,10,10,10,10,7
37,2,1,2,2,2,2,1,1.5,1.5
38,5,3,2,6,4,6,3,4,2.5
39,4,3,5,6,4,5,4,4,4
40,7,2,3,6,2,2,6,6.5,2.5
41,6,2,3,8,4,6,7,6.5,2.5
42,7,2,2,6,4,4,7,7,2
43,7,4,5,8,6,7,6,6.5,4.5
44,8,6,5,8,6,8,6,7,5.5
45,9,10,8,10,9,9,9,9,9
46,7,5,4,8,6,6,6,6.5,4.5
47,5,3,3,6,6,6,5,5,3
48,10,10,8,10,8,8,8,9,9
49,10,10,8,10,9,9,9,9.5,9
50,8,6,5,9,8,8,6,7,5.5
51,8,8,5,9,6,7,6,7,6.5
52,9,9,5,8,7,8,8,8.5,7
53,6,3,3,6,6,6,5,5.5,3
54,10,10,7,10,9,9,9,9.5,8.5
55,9,10,6,10,9,9,8,8.5,8
56,9,9,7,10,8,9,8,8.5,8
57,10,10,7,10,9,9,9,9.5,8.5
58,6,8,5,6,6,6,5,5.5,6.5
59,9,10,6,10,9,9,8,8.5,8
60,8,6,5,8,8,7,5,6.5,5.5
61,9,6,7,10,8,8,6,7.5,6.5
62,9,10,7,10,9,9,8,8.5,8.5
63,10,10,9,10,9,9,9,9.5,9.5
64,9,10,9,10,8,9,10,9.5,9.5
65,7,7,7,9,6,6,6,6.5,7
66,10,10,10,10,8,9,9,9.5,10
67,10,10,10,10,8,9,10,10,10
68,10,9,8,9,9,9,9,9.5,8.5
69,6,5,4,6,6,6,5,5.5,4.5
70,9,6,8,10,8,8,7,8,7
71,5,2,3,6,4,5,4,4.5,2.5
72,5,2,2,6,5,5,4,4.5,2
73,5,3,4,6,6,6,5,5,3.5
74,10,10,7,10,8,8,9,9.5,8.5
75,8,5,4,8,6,6,7,7.5,4.5
76,5,5,4,9,6,6,6,5.5,4.5
77,5,5,5,6,6,5,5,5,5
78,7,5,5,8,6,7,5,6,5
79,7,6,5,10,7,6,6,6.5,5.5
80,7,3,4,6,6,6,6,6.5,3.5
81,7,4,4,6,6,6,6,6.5,4
82,8,4,3,8,6,6,7,7.5,3.5
83,8,5,3,8,6,6,6,7,4
84,9,6,5,9,8,8,8,8.5,5.5
85,8,5,4,6,6,6,7,7.5,4.5
86,8,6,5,10,6,8,6,7,5.5
87,7,4,4,6,5,4,5,6,4
88,9,8,5,10,8,8,6,7.5,6.5
89,9,8,5,9,8,8,7,8,6.5
90,8,7,4,8,6,7,6,7,5.5
91,8,7,4,8,6,6,6,7,5.5
92,7,4,4,9,6,7,5,6,4
93,9,9,5,9,8,8,8,8.5,7
94,8,6,5,9,8,8,5,6.5,5.5
95,9,9,5,10,8,9,7,8,7
96,5,8,4,8,8,8,6,5.5,6
97,7,7,4,6,6,6,5,6,5.5
98,8,8,5,9,8,8,7,7.5,6.5
99,8,8,5,8,6,6,7,7.5,6.5
100,8,9,7,9,8,8,7,7.5,8
101,10,10,8,9,8,8,8,9,9
102,6,8,8,9,8,9,9,7.5,8
103,8,7,7,9,8,8,8,8,7
104,6,8,4,6,6,6,6,6,6
105,9,9,5,9,8,9,8,8.5,7
106,3,4,3,9,6,6,5,4,3.5
107,6,5,3,8,7,7,5,5.5,4
108,6,5,3,6,6,5,4,5,4
109,8,7,5,9,8,8,8,8,6
110,6,5,4,6,6,6,6,6,4.5
111,9,8,6,9,6,8,7,8,7
112,8,5,5,8,8,8,5,6.5,5
113,8,5,5,6,6,6,6,7,5
114,9,6,6,9,8,8,6,7.5,6
115,10,10,8,9,8,8,8,9,9
116,9,10,8,10,8,8,9,9,9
117,10,10,8,10,9,8,10,10,9
118,9,9,5,9,8,8,6,7.5,7
119,10,10,8,10,9,9,8,9,9
120,7,8,5,8,7,8,6,6.5,6.5
121,9,10,7,10,9,9,6,7.5,8.5
122,8,8,7,9,8,8,7,7.5,7.5
123,7,9,4,8,6,7,6,6.5,6.5
124,8,7,4,9,6,7,6,7,5.5
